,fund_symbol
0,TQQQ
1,SOXL
2,TECL
3,RETL
4,QLD
5,ROM
6,USD
7,CURE
8,UPRO
9,UCC
10,UDOW
11,RXL
12,FAS
13,BIB
14,SSO
15,SMH
16,UXI
17,DDM
18,UGE
19,IGM
20,QQQ
21,MIDU
22,PNQI
23,UMDD
24,IGV
25,SAA
26,PSCH
27,RYT
28,ONEQ
29,ITB
30,IHI
31,IWY
32,FXL
33,MVV
34,XHE
35,MGK
36,URTY
37,ILCG
38,UWM
39,SCHG
40,IWF
41,TNA
42,SPGP
43,QCLN
44,VOOG
45,IVW
46,PSCT
47,QQEW
48,IBB
49,IAI
50,IHF
51,PSCD
52,RYH
53,UPW
54,IWL
55,MGC
56,ILCB
57,SPHQ
58,IMCG
59,XMMO
60,SCHX
61,VOO
62,IVV
63,VONE
64,IWB
65,ITOT
66,SPY
67,SPLG
68,FXH
69,SCHB
70,DSI
71,FIW
72,EQWL
73,VTHR
74,RWJ
75,SPTM
76,FTC
77,QQXT
78,FAD
79,ITA
80,PKW
81,KBWP
82,VOT
83,FNY
84,RGI
85,RYF
86,CSM
87,PSCC
88,SPHB
89,XSVM
90,EPS
91,SLYG
92,VIOG
93,IJT
94,RESP
95,PEZ
96,FYC
97,FXO
98,EUSA
99,FTCS
